Nome,Escolaridade,Número,Aptidão,Coligação
Dagostino,Superior completo,1888,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Daiana,Ensino Médio completo,2832,Deferido (Apto),PRTB
Daiane Araujo,Ensino Médio completo,4047,Indeferido (Inapto),"Coligação PSB, PTB, PPS, PSC"
Daiane dos Garis,Superior incompleto,3545,Indeferido com recurso (Apto),UNIDOS POR SÃO PAULO
Dalton Hamada,Superior completo,1054,Renúncia (Inapto),PRB
Damião de Souza,Ensino Médio completo,2227,Deferido (Apto),PR
Daniel Azul,Superior completo,5490,Indeferido com recurso (Apto),PPL
Daniel Carvalho,Superior completo,5014,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Daniel Córdoba,Superior completo,4540,Deferido (Apto),PSDB-PSD-DEM-PP
Daniel da Gente,Ensino Médio completo,9078,Deferido (Apto),PROS
Daniel di Donato,Superior completo,9080,Deferido (Apto),PROS
Daniel Perueiro,Ensino Médio completo,2235,Deferido (Apto),PR
Daniel Veríssimo,Ensino Médio completo,1554,Deferido (Apto),MDB
Daniel Vieira,Superior completo,5173,Deferido (Apto),PATRI
Danilo di Pauli,Superior completo,1949,Deferido (Apto),UNIDOS POR SÃO PAULO
Danilo Manha,Superior completo,4444,Deferido (Apto),PRP
Dany Comitiva,Ensino Médio completo,2867,Indeferido com recurso (Apto),PRTB
Danybia Thompson,Ensino Médio completo,3626,Deferido (Apto),PTC
Darlene Oliveira,Superior completo,2704,Deferido (Apto),DC
Daro Piffer,Superior completo,5402,Deferido (Apto),PPL
David Azevedo,Superior incompleto,3017,Deferido (Apto),NOVO
David Bueno,Ensino Médio completo,7700,Indeferido com recurso (Apto),SOLIDARIEDADE
David Monteiro,Ensino Médio completo,2232,Deferido (Apto),PR
David Padak Feliciano,Superior completo,1342,Deferido (Apto),SÃO PAULO DO TRABALHO  E DE OPORTUNIDADES
David Soares,Superior completo,2533,Deferido (Apto),PSDB-PSD-DEM-PP
Davilson Mendonça,Superior completo,1962,Deferido (Apto),UNIDOS POR SÃO PAULO
Dayana Franco,Superior completo,1552,Deferido (Apto),MDB
Dayane Amaro,Superior completo,7009,Deferido (Apto),AVANTE
de Paula,Superior completo,4566,Deferido (Apto),PSDB-PSD-DEM-PP
Debora Cabral,Ensino Médio completo,2278,Deferido (Apto),PR
Débora Camilo,Superior completo,5055,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Debora Librelon,Ensino Médio completo,7016,Deferido (Apto),AVANTE
