Nome,Escolaridade,Número,Aptidão,Coligação
Kadu,Ensino Médio completo,33333,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Kaká,Ensino Fundamental incompleto,45333,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Kaká do Autocenter,Ensino Fundamental completo,65265,Deferido (Apto),PC do B
Kako Novelli,Ensino Fundamental completo,19033,Deferido (Apto),PODE
Kamel,Superior incompleto,70176,Deferido (Apto),AVANTE
Mariana Moura,Superior completo,54300,Deferido (Apto),PPL
Regina Manssur,Superior completo,54035,Deferido (Apto),PPL
Adão Lima Agro,Superior completo,22018,Deferido (Apto),PR
Adna Conselheira,Superior completo,22550,Deferido (Apto),PR
Keith Cristine,Superior incompleto,65659,Deferido (Apto),PC do B
Kelly Brito,Ensino Médio completo,17207,Deferido (Apto),PSL
Adriana Afonso,Superior completo,22220,Deferido (Apto),PR
Kelly Vesco,Superior incompleto,15077,Deferido (Apto),MDB
Kerin Silva,Ensino Médio completo,17685,Deferido (Apto),PSL
Kiel Damasceno,Ensino Médio completo,90123,Deferido (Apto),PROS
Alan Bezerra do Povo,Superior completo,22044,Deferido (Apto),PR
Kinho Guerreiro,Ensino Médio completo,22017,Deferido (Apto),PR
Kitão Cassio do Farol,Ensino Fundamental incompleto,44910,Deferido (Apto),PRP
Kleber Pena,Superior incompleto,90511,Deferido (Apto),PROS
Ana Pavão,Superior completo,22192,Deferido (Apto),PR
Lakinho,Ensino Médio completo,90095,Deferido (Apto),PROS
Anderson Branco,Superior completo,22900,Deferido (Apto),PR
Laurinda dos Santos,Ensino Médio completo,51760,Deferido (Apto),PATRI
André do Prado,Superior completo,22999,Deferido (Apto),PR
Leandro,Ensino Médio completo,70045,Deferido (Apto),AVANTE
Cabo de Paula,Superior completo,22033,Deferido (Apto),PR
Leandro Gonçalves,Superior incompleto,50130,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Leandro Jesus,Ensino Médio completo,51470,Deferido (Apto),PATRI
Caio Cesar Loro,Superior completo,22202,Deferido (Apto),PR
Leandro Lima,Ensino Médio incompleto,90633,Deferido (Apto),PROS
Camino - O Bombeiro,Superior completo,22193,Deferido (Apto),PR
Leci Brandão,Ensino Médio completo,65035,Deferido (Apto),PC do B
Leda da Saúde,Ensino Médio completo,25077,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Capitão Müller,Superior completo,22600,Deferido (Apto),PR
Leilson Castro,Ensino Médio completo,28199,Deferido (Apto),PRTB
Lelau,Superior incompleto,35555,Deferido (Apto),RENOVAÇÃO 
Leni Prado,Ensino Médio completo,19109,Deferido (Apto),PODE
Lenir Maria de Oliveira,Ensino Médio incompleto,19421,Deferido (Apto),PODE
Carlos Rossato,Superior completo,22455,Deferido (Apto),PR
Leo Camelô,Ensino Fundamental completo,70343,Deferido (Apto),AVANTE
Dani Alonso,Superior completo,22322,Deferido (Apto),PR
Léo Oliveira,Superior incompleto,15123,Deferido (Apto),MDB
Léo Sampaio,Superior incompleto,15051,Deferido (Apto),MDB
Delegada Graciela,Superior completo,22888,Deferido (Apto),PR
Leticia Aguiar,Superior incompleto,17500,Deferido (Apto),PSL
Leticia Ianca,Ensino Médio completo,27600,Deferido (Apto),DC
Dr. Antonio Neto,Superior completo,22700,Deferido (Apto),PR
Dr. Euclydes O Médico do Povo,Superior completo,22191,Deferido (Apto),PR
Dr. Pacheco,Superior completo,22225,Deferido (Apto),PR
Lidianne Batista,Ensino Médio incompleto,70730,Deferido (Apto),AVANTE
Dr. Samuel Siqueira,Superior completo,22377,Deferido (Apto),PR
Lilian Ferreira,Superior incompleto,19300,Deferido (Apto),PODE
Dr. Wilson Paiva,Superior completo,22777,Deferido (Apto),PR
Dra. Cristiany,Superior completo,22599,Deferido (Apto),PR
Lino Bispo,Ensino Médio completo,22100,Deferido (Apto),PR
Dra. Patricia Feitosa,Superior completo,22500,Deferido (Apto),PR
Eliana Passarelli,Superior completo,22555,Deferido (Apto),PR
Engº Daniel Rossi,Superior completo,22789,Deferido (Apto),PR
Fabiane Marques,Superior completo,22303,Deferido (Apto),PR
Lourdes Gussoni,Ensino Médio completo,51480,Deferido (Apto),PATRI
Lourivaldo Prates,Ensino Médio incompleto,65888,Deferido (Apto),PC do B
Lú,Ensino Médio completo,28510,Deferido (Apto),PRTB
Fabiano Borges,Superior completo,22181,Deferido (Apto),PR
Fátima Lira,Superior completo,22045,Deferido (Apto),PR
Gilberto Benzi,Superior completo,22000,Deferido (Apto),PR
Luana Almeida,Ensino Médio completo,43300,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
Luana Massuia,Ensino Médio completo,17046,Deferido (Apto),PSL
Graça Dias,Superior completo,22552,Deferido (Apto),PR
Lucas Kexão,Ensino Médio completo,90016,Deferido (Apto),PROS
Lucas Landin,Superior incompleto,50080,Deferido (Apto),SEM MEDO DE MUDAR SÃO PAULO
Guilherme Piai,Superior completo,22300,Deferido (Apto),PR
Lucia Naf,Superior incompleto,22422,Deferido (Apto),PR
Isa Mascarenhas,Superior completo,22580,Deferido (Apto),PR
Luciana Bonifacio,Ensino Fundamental incompleto,33445,Deferido (Apto),Coligação Mobilização Sustentável por São Paulo
Luciana Dragone,Ensino Médio completo,44423,Deferido (Apto),PRP
Luciana Fragoso,Ensino Médio completo,90290,Deferido (Apto),PROS
Jeffercy,Superior completo,22080,Deferido (Apto),PR
Jonas Camisa Nova Filho,Superior completo,22822,Deferido (Apto),PR
Julio Cesar,Superior completo,22012,Deferido (Apto),PR
Luciano 30 Horas,Ensino Médio completo,55030,Deferido (Apto),PSDB-PSD-DEM-PP-PRB
Luciano Bonsucesso,Ensino Médio completo,22177,Deferido (Apto),PR
Lucimar Freire,Ensino Médio completo,14045,Deferido (Apto),"Coligação PSB, PTB, PV, PSC, PPS"
